,goldTotal,goldDiff,champKills,killDiff,towerKills,towerDiff,inhibKills,inhibDiff,dragonKills,dragonDiff,baronKills,baronDiff,riftKills,firstBlood,firstTower,firstInhib,firstDragon,firstBaron,firstRift,time
21,0.0958270968681,0.417068868074,0.0130545824977,0.146968375008,0.0560616431692,0.151418338339,0.00188691890964,0.00284011807523,0.0254340050689,0.0388613796575,5.75314417785e-05,7.85144567229e-05,0.0,0.00288267534807,0.0350615253636,0.00211908471599,0.00950201773118,2.17382367098e-05,0.000855587039156,22
22,0.0785032691877,0.344359920771,0.0155210267112,0.193164031341,0.0775028644015,0.174356353485,0.000274536778152,0.00309118860851,0.030208326009,0.0545087393041,5.7769789998e-05,0.000264474011352,0.0,0.00279094937617,0.0130892552908,0.00192332435997,0.00950489456041,0.000120949068155,0.000758126946214,23
23,0.0811462514998,0.323255070084,0.018162871919,0.166215633557,0.0850516303138,0.198666502122,0.00577227432795,0.00732938348543,0.0307498740206,0.0472110798806,0.000161382779853,0.000908522785804,0.0,0.00260052041451,0.0153015691657,0.00417751116504,0.0129028238208,0.000137046421515,0.000250052236662,24
24,0.0924963936447,0.363011079115,0.0189205096735,0.186698809306,0.061603649906,0.166636708401,0.00130530269817,0.00543463000703,0.0314754840433,0.0334578994619,0.00030880596617,0.00136458262682,0.0,0.00277322977948,0.0135734648093,0.00974734634359,0.0107571657538,0.000259759411501,0.000175179053305,25
25,0.11552621289,0.300351314939,0.016221359334,0.149259428753,0.0712450948283,0.222175751182,0.0091827267443,0.0197506162535,0.0188271881943,0.0529844820262,0.000557654879049,0.00309791543392,0.0,0.00284780707809,0.00756775351018,0.00423908990411,0.00543803033702,0.000538545876591,0.000189027835565,26
26,0.0917626894101,0.39121441304,0.0171040791629,0.113078858509,0.0731860624553,0.189771787769,0.00248676911843,0.0198084755822,0.0441049989097,0.0312632129714,0.000877425910961,0.00319384526412,0.0,0.00274066807397,0.00342278606261,0.0135377072506,0.00184941929135,0.000463449244467,0.000133351973747,27
27,0.0831306731304,0.296851410587,0.00879634006835,0.131856007871,0.10510702718,0.217096358362,0.0129803568014,0.0358499133671,0.028163391761,0.0439792284871,0.00139036836698,0.00517866721083,0.0,0.00250834480744,0.0028139953626,0.0214119076394,0.00127195147866,0.00149625621634,0.000117801302274,28
28,0.0912333451569,0.320982995919,0.00853388588987,0.141327328912,0.0726241342815,0.206100396381,0.0202389102243,0.0498289375165,0.0157449741342,0.0337090762863,0.00248606220407,0.00727858806105,0.0,0.00264405721551,0.00401583554033,0.0201833690881,0.00149689302169,0.00142689479466,0.000144315373753,29
29,0.0915380325299,0.342753983289,0.0100923659904,0.13314092002,0.102807255037,0.1466532196,0.0234617718833,0.0625248167043,0.0224885073768,0.0261612302617,0.00234376233324,0.0104073297563,0.0,0.00264684425645,0.00248575726941,0.016590094593,0.00114884757558,0.0026839774776,7.12840461119e-05,30
30,0.0885479440944,0.30455588179,0.0111310834082,0.148670285509,0.0941334641933,0.165856300047,0.0349285732945,0.0611277159706,0.0185402797347,0.0234873652414,0.00225494374598,0.011643773948,0.0,0.00260136572302,0.0024500544423,0.0250184117779,0.00115875057617,0.00378416838164,0.000109638122767,31
31,0.0634728585525,0.312570193642,0.0094762328132,0.129587359596,0.0879871589301,0.186115420909,0.043552723537,0.0767132119398,0.0171456464829,0.0299027663152,0.00610602757665,0.0104353607804,0.0,0.00269194833086,0.00243899574096,0.0174651650174,0.00116621272735,0.00309111147543,8.160563337e-05,32
32,0.0538569346036,0.319798230771,0.00733868854414,0.131441197899,0.103418550914,0.201297858218,0.0421481877276,0.0678686598787,0.011666552446,0.0152654491102,0.00595696563701,0.0121573022243,0.0,0.00263628108256,0.00380917909551,0.0169679722449,0.00163116685571,0.0026399867563,0.000100835991399,33
